contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,spot,download_timestamp,mid_price,bid_ask_spread,relative_spread,moneyness,log_moneyness,time_to_expiry,days_to_expiry,price_lower_bound,price_upper_bound,passes_price_bounds,calculated_implied_volatility,previous_mid_price,passes_monotonicity
SPY260821C00600000,2026-07-20 17:26:39+00:00,600.0,147.1,148.58,150.38,0.0,0.0,7.0,777,0.5591169577026368,True,REGULAR,USD,SPY,call,2026-08-21,744.5194091796875,2026-07-21T13:48:04.398522+00:00,149.48000000000002,1.799999999999983,0.0120417447150119,0.8058889971197404,-0.2158092666549856,0.08563912993017504,31.25828242451389,146.5712319652239,744.5194091796875,True,0.5016605600353632,,True
SPY260821C00605000,2026-07-16 18:18:07+00:00,605.0,149.25,143.63,145.49,0.0,0.0,4.0,113,0.5449569430541993,True,REGULAR,USD,SPY,call,2026-08-21,744.5194091796875,2026-07-21T13:48:04.398522+00:00,144.56,1.8600000000000136,0.0128666297731046,0.8126047387624049,-0.2075104638402905,0.08563912993017504,31.25828242451389,141.58833048843667,744.5194091796875,True,0.4888741613897411,149.48000000000002,True
SPY260821C00610000,2026-07-20 16:25:51+00:00,610.0,139.39,138.71,140.41,0.0,0.0,2.0,449,0.5285081329345704,True,REGULAR,USD,SPY,call,2026-08-21,744.5194091796875,2026-07-21T13:48:04.398522+00:00,139.56,1.6999999999999886,0.0121811407280022,0.8193204804050694,-0.199279964703775,0.08563912993017504,31.25828242451389,136.60542901164956,744.5194091796875,True,0.4730542571324764,144.56,True
SPY260821C00615000,2026-07-20 17:43:11+00:00,615.0,132.03,132.73,135.57,0.0,0.0,3.0,98,0.5004932763671875,True,REGULAR,USD,SPY,call,2026-08-21,744.5194091796875,2026-07-21T13:48:04.398522+00:00,134.14999999999998,2.8400000000000034,0.0211703317182258,0.8260362220477339,-0.1911166540646142,0.08563912993017504,31.25828242451389,131.62252753486234,744.5194091796875,True,0.4417645222263512,139.56,True
SPY260821C00620000,2026-07-17 16:06:11+00:00,620.0,128.85,127.92,129.62,0.0,0.0,12.0,102,0.4973194799804688,True,REGULAR,USD,SPY,call,2026-08-21,744.5194091796875,2026-07-21T13:48:04.398522+00:00,128.77,1.7000000000000028,0.0132018327250136,0.8327519636903984,-0.1830194438319948,0.08563912993017504,31.25828242451389,126.63962605807512,744.5194091796875,True,0.41111630953891765,134.14999999999998,True
SPY260821C00625000,2026-07-16 16:39:20+00:00,625.0,130.38,123.09,125.43,0.0,0.0,4.0,136,0.5017139672851563,True,REGULAR,USD,SPY,call,2026-08-21,744.5194091796875,2026-07-21T13:48:04.398522+00:00,124.26,2.3400000000000034,0.0188314823756639,0.8394677053330629,-0.1749872721347305,0.08563912993017504,31.25828242451389,121.6567245812879,744.5194091796875,True,0.41525436524937404,128.77,True
SPY260821C00630000,2026-07-20 19:52:04+00:00,630.0,115.5,117.61,120.01,0.0,0.0,4.0,499,0.4745535943603516,True,REGULAR,USD,SPY,call,2026-08-21,744.5194091796875,2026-07-21T13:48:04.398522+00:00,118.81,2.4000000000000057,0.0202003198383974,0.8461834469757274,-0.1670191024855536,0.08563912993017504,31.25828242451389,116.67382310450068,744.5194091796875,True,0.38287190745669064,124.26,True
SPY260821C00635000,2026-07-20 14:23:18+00:00,635.0,113.53,112.88,115.72,0.0,0.0,14.0,102,0.475041870727539,True,REGULAR,USD,SPY,call,2026-08-21,744.5194091796875,2026-07-21T13:48:04.398522+00:00,114.3,2.8400000000000034,0.0248468941382327,0.8528991886183919,-0.1591139229784404,0.08563912993017504,31.25828242451389,111.69092162771358,744.5194091796875,True,0.3861400585799254,118.81,True
SPY260821C00640000,2026-07-20 14:20:18+00:00,640.0,108.79,108.07,110.96,0.0,0.0,22.0,2598,0.4635978933715821,True,REGULAR,USD,SPY,call,2026-08-21,744.5194091796875,2026-07-21T13:48:04.398522+00:00,109.515,2.890000000000001,0.0263890791215815,0.8596149302610564,-0.1512707455174145,0.08563912993017504,31.25828242451389,106.70802015092636,744.5194091796875,True,0.37817983017631096,114.3,True
SPY260821C00645000,2026-07-20 14:19:45+00:00,645.0,103.91,102.8,105.27,0.0,0.0,2.0,252,0.4310359631347656,True,REGULAR,USD,SPY,call,2026-08-21,744.5194091796875,2026-07-21T13:48:04.398522+00:00,104.035,2.469999999999999,0.0237420099005142,0.8663306719037209,-0.1434886050753595,0.08563912993017504,31.25828242451389,101.72511867413914,744.5194091796875,True,0.34665268780563585,109.515,True
SPY260821C00650000,2026-07-20 14:53:58+00:00,650.0,97.97,97.93,100.44,0.0,0.0,173.0,848,0.4182187084960937,True,REGULAR,USD,SPY,call,2026-08-21,744.5194091796875,2026-07-21T13:48:04.398522+00:00,99.185,2.509999999999991,0.0253062459041184,0.8730464135463855,-0.1357665589814492,0.08563912993017504,31.25828242451389,96.74221719735192,744.5194091796875,True,0.3368634103342496,104.035,True
