contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,spot,download_timestamp,mid_price,bid_ask_spread,relative_spread,moneyness,log_moneyness,time_to_expiry,days_to_expiry,price_lower_bound,price_upper_bound,passes_price_bounds,calculated_implied_volatility
SPY260731P00628000,2026-07-24 15:44:56+00:00,628.0,0.04,0.05,0.06,-0.04,-50.0,125.0,188,0.4492242578124999,False,REGULAR,USD,SPY,put,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,0.055,0.0099999999999999,0.1818181818181817,0.849877525611357,-0.1626630273954289,0.0170623064188229,6.22774184287037,0.0,627.5715410893348,True,0.474370729058683
SPY260731P00629000,2026-07-24 15:44:12+00:00,629.0,0.05,0.05,0.06,-0.05,-50.0,7.0,377,0.445318046875,False,REGULAR,USD,SPY,put,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,0.055,0.0099999999999999,0.1818181818181817,0.8512308337731586,-0.161071937163187,0.0170623064188229,6.22774184287037,0.0,628.5708588299229,True,0.4701960205735565
SPY260731P00630000,2026-07-24 19:32:07+00:00,630.0,0.08,0.05,0.06,0.0,0.0,29.0,152456,0.4414118359375,False,REGULAR,USD,SPY,put,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,0.055,0.0099999999999999,0.1818181818181817,0.85258414193496,-0.1594833744780492,0.0170623064188229,6.22774184287037,0.0,629.570176570511,True,0.4660250373779833
SPY260731P00631000,2026-07-23 17:44:35+00:00,631.0,0.09,0.05,0.06,0.0,0.0,515.0,2312,0.437505625,False,REGULAR,USD,SPY,put,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,0.055,0.0099999999999999,0.1818181818181817,0.8539374500967616,-0.1578973313224144,0.0170623064188229,6.22774184287037,0.0,630.5694943110991,True,0.4618577049661727
SPY260731P00632000,2026-07-24 19:41:54+00:00,632.0,0.07,0.05,0.06,-0.020000003,-22.222225,527.0,1444,0.4335994140625,False,REGULAR,USD,SPY,put,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,0.055,0.0099999999999999,0.1818181818181817,0.8552907582585632,-0.1563137997167701,0.0170623064188229,6.22774184287037,0.0,631.5688120516872,True,0.4576939674587808
SPY260731P00633000,2026-07-24 19:52:59+00:00,633.0,0.06,0.05,0.06,-0.030000005,-33.333336,10.0,435,0.429693203125,False,REGULAR,USD,SPY,put,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,0.055,0.0099999999999999,0.1818181818181817,0.8566440664203646,-0.1547327717194513,0.0170623064188229,6.22774184287037,0.0,632.5681297922754,True,0.4535337876029127
SPY260731P00634000,2026-07-24 19:52:59+00:00,634.0,0.06,0.06,0.07,-0.030000005,-33.333336,26.0,872,0.4335994140625,False,REGULAR,USD,SPY,put,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,0.065,0.01,0.1538461538461539,0.8579973745821662,-0.1531542394264016,0.0170623064188229,6.22774184287037,0.0,633.5674475328635,True,0.4575544367385581
SPY260731P00635000,2026-07-24 19:51:16+00:00,635.0,0.06,0.06,0.07,-0.05,-45.454548,28.0,845,0.429693203125,False,REGULAR,USD,SPY,put,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,0.065,0.01,0.1538461538461539,0.8593506827439676,-0.1515781949709359,0.0170623064188229,6.22774184287037,0.0,634.5667652734516,True,0.4533383868526126
SPY260731P00636000,2026-07-24 19:59:54+00:00,636.0,0.06,0.06,0.07,-0.030000005,-33.333336,33.0,415,0.4257869921875,False,REGULAR,USD,SPY,put,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,0.065,0.01,0.1538461538461539,0.8607039909057692,-0.1500046305235054,0.0170623064188229,6.22774184287037,0.0,635.5660830140397,True,0.449125726980161
SPY260731P00637000,2026-07-23 19:54:16+00:00,637.0,0.1,0.06,0.07,0.0,0.0,100.0,882,0.42188078125,False,REGULAR,USD,SPY,put,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,0.065,0.01,0.1538461538461539,0.8620572990675708,-0.1484335382914641,0.0170623064188229,6.22774184287037,0.0,636.5654007546278,True,0.4449163919286355
