contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,spot,download_timestamp,mid_price,bid_ask_spread,relative_spread,moneyness,log_moneyness,time_to_expiry,days_to_expiry,price_lower_bound,price_upper_bound,passes_price_bounds,calculated_implied_volatility
SPY260731C00631000,2026-07-08 19:39:54+00:00,631.0,116.38,106.41,109.87,0.0,0.0,6.0,11,0.508793974609375,True,REGULAR,USD,SPY,call,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,108.14,3.460000000000008,0.0319955613094138,0.8539374500967616,-0.1578973313224144,0.01706230641882293,6.22774184287037,108.36050568890084,738.93,False,
SPY260731C00632000,2026-06-17 20:08:03+00:00,632.0,112.21,106.33,109.64,0.0,0.0,5.0,10,0.6530796411132813,True,REGULAR,USD,SPY,call,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,107.985,3.3100000000000023,0.030652405426679654,0.8552907582585632,-0.1563137997167701,0.01706230641882293,6.22774184287037,107.3611879483127,738.93,True,0.6326214297559056
SPY260731C00635000,2026-07-24 19:27:45+00:00,635.0,103.4,102.42,105.87,-12.169998,-10.530413,1.0,42,0.7224148852539063,True,REGULAR,USD,SPY,call,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,104.14500000000001,3.450000000000003,0.03312689039320181,0.8593506827439676,-0.15157819497093594,0.01706230641882293,6.22774184287037,104.3632347265484,738.93,False,
SPY260731C00636000,2026-07-06 18:25:03+00:00,636.0,117.5,101.42,104.88,0.0,0.0,1.0,15,0.7172879833984375,True,REGULAR,USD,SPY,call,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,103.15,3.4599999999999937,0.03354338342220062,0.8607039909057692,-0.1500046305235054,0.01706230641882293,6.22774184287037,103.36391698596026,738.93,False,
SPY260731C00637000,2026-04-14 13:34:02+00:00,637.0,67.16,106.56,109.87,0.0,0.0,1.0,702,0.971557901611328,True,REGULAR,USD,SPY,call,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,108.215,3.3100000000000023,0.03058725684978979,0.8620572990675708,-0.14843353829146413,0.01706230641882293,6.22774184287037,102.36459924537212,738.93,True,1.0106717601436075
SPY260731C00638000,2026-06-29 15:47:08+00:00,638.0,103.83,99.9,102.4,0.0,0.0,1.0,566,0.663333444824219,True,REGULAR,USD,SPY,call,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,101.15,2.5,0.024715768660405337,0.8634106072293722,-0.14686491051883768,0.01706230641882293,6.22774184287037,101.36528150478398,738.93,False,
SPY260731C00639000,2026-06-17 20:00:58+00:00,639.0,106.0,99.35,102.63,0.0,0.0,20.0,21,0.6154823608398439,True,REGULAR,USD,SPY,call,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,100.99,3.280000000000001,0.03247846321417963,0.8647639153911738,-0.1452987394860927,0.01706230641882293,6.22774184287037,100.36596376419595,738.93,True,0.5950171602545782
SPY260731C00640000,2026-07-24 19:56:06+00:00,640.0,98.91,97.91,100.4,-10.209999,-9.35667,3.0,323,0.6518589501953126,True,REGULAR,USD,SPY,call,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,99.155,2.490000000000009,0.02511219807372305,0.8661172235529753,-0.14373501750991005,0.01706230641882293,6.22774184287037,99.36664602360781,738.93,False,
SPY260731C00641000,2026-06-22 15:00:25+00:00,641.0,108.07,97.35,100.67,0.0,0.0,2.0,92,0.6069375244140626,True,REGULAR,USD,SPY,call,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,99.00999999999999,3.3200000000000074,0.03353196646803361,0.8674705317147768,-0.14217373694295748,0.01706230641882293,6.22774184287037,98.36732828301967,738.93,True,0.5872574799036887
SPY260731C00643000,2026-07-16 14:35:38+00:00,643.0,112.36,94.91,97.4,0.0,0.0,1.0,104,0.6347692773437501,True,REGULAR,USD,SPY,call,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,96.155,2.490000000000009,0.025895689251729075,0.8701771480383799,-0.13905846962600818,0.01706230641882293,6.22774184287037,96.36869280184351,738.93,False,
