contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,spot,download_timestamp,mid_price,bid_ask_spread,relative_spread,moneyness,log_moneyness,time_to_expiry,days_to_expiry,price_lower_bound,price_upper_bound,passes_price_bounds,calculated_implied_volatility,previous_mid_price,passes_monotonicity
SPY260821P00655000,2026-07-20 19:55:20+00:00,655.0,1.43,1.12,1.14,0.0,0.0,4173.0,10231,0.2631909619140625,False,REGULAR,USD,SPY,put,2026-08-21,744.5194091796875,2026-07-21T13:48:04.398522+00:00,1.13,0.0199999999999997,0.0176991150442476,0.8797621551890499,-0.1281036862358801,0.085639129930175,31.25828242451389,0.0,652.7600934591228,True,0.2716190360135243,1.11,True
SPY260821P00656000,2026-07-20 15:51:02+00:00,656.0,1.28,1.14,1.16,0.0,0.0,194.0,719,0.2615430291748046,False,REGULAR,USD,SPY,put,2026-08-21,744.5194091796875,2026-07-21T13:48:04.398522+00:00,1.15,0.02,0.0173913043478261,0.8811053035175829,-0.1265781329270429,0.085639129930175,31.25828242451389,0.0,653.7566737544802,True,0.2700138704450707,1.13,True
SPY260821P00657000,2026-07-20 20:05:37+00:00,657.0,1.47,1.17,1.19,0.0,0.0,118.0,3790,0.2603833728027344,False,REGULAR,USD,SPY,put,2026-08-21,744.5194091796875,2026-07-21T13:48:04.398522+00:00,1.18,0.02,0.0169491525423729,0.8824484518461158,-0.1250549033865215,0.085639129930175,31.25828242451389,0.0,654.7532540498377,True,0.2688539468274282,1.15,True
SPY260821P00658000,2026-07-20 19:29:34+00:00,658.0,1.49,1.19,1.21,0.0,0.0,2.0,531,0.2586744055175781,False,REGULAR,USD,SPY,put,2026-08-21,744.5194091796875,2026-07-21T13:48:04.398522+00:00,1.2,0.02,0.0166666666666666,0.8837916001746486,-0.1235339905458148,0.085639129930175,31.25828242451389,0.0,655.749834345195,True,0.2671985492218061,1.18,True
SPY260821P00659000,2026-07-20 18:16:41+00:00,659.0,1.31,1.21,1.22,0.0,0.0,105.0,773,0.2565992309570312,False,REGULAR,USD,SPY,put,2026-08-21,744.5194091796875,2026-07-21T13:48:04.398522+00:00,1.215,0.01,0.0082304526748971,0.8851347485031815,-0.1220153873686248,0.085639129930175,31.25828242451389,0.0,656.7464146405525,True,0.2652966701611887,1.2,True
SPY260821P00660000,2026-07-21 13:30:55+00:00,660.0,1.23,1.24,1.25,-0.35000002,-22.151901,2.0,8284,0.2553175054931641,False,REGULAR,USD,SPY,put,2026-08-21,744.5194091796875,2026-07-21T13:48:04.398522+00:00,1.245,0.01,0.0080321285140562,0.8864778968317144,-0.1204990868506608,0.085639129930175,31.25828242451389,0.0,657.7429949359099,True,0.2640480648615745,1.215,True
SPY260821P00661000,2026-07-20 17:32:03+00:00,661.0,1.45,1.26,1.27,0.0,0.0,18.0,572,0.2535475036621094,False,REGULAR,USD,SPY,put,2026-08-21,744.5194091796875,2026-07-21T13:48:04.398522+00:00,1.265,0.01,0.0079051383399209,0.8878210451602473,-0.1189850820194458,0.085639129930175,31.25828242451389,0.0,658.7395752312674,True,0.262328402518697,1.245,True
SPY260821P00662000,2026-07-21 13:30:55+00:00,662.0,1.26,1.28,1.29,-0.26,-17.105263,2.0,697,0.2518385363769531,False,REGULAR,USD,SPY,put,2026-08-21,744.5194091796875,2026-07-21T13:48:04.398522+00:00,1.285,0.01,0.0077821011673151,0.8891641934887803,-0.1174733659341237,0.085639129930175,31.25828242451389,0.0,659.7361555266248,True,0.2605891952113472,1.265,True
SPY260821P00663000,2026-07-20 18:15:20+00:00,663.0,1.42,1.28,1.3,0.0,0.0,36.0,471,0.2496412927246093,False,REGULAR,USD,SPY,put,2026-08-21,744.5194091796875,2026-07-21T13:48:04.398522+00:00,1.29,0.02,0.0155038759689922,0.8905073418173132,-0.1159639316852695,0.085639129930175,31.25828242451389,0.0,660.7327358219823,True,0.2581939096984524,1.285,True
SPY260821P00664000,2026-07-20 15:51:13+00:00,664.0,1.47,1.33,1.34,0.0,0.0,31.0,597,0.2486647399902344,False,REGULAR,USD,SPY,put,2026-08-21,744.5194091796875,2026-07-21T13:48:04.398522+00:00,1.335,0.01,0.0074906367041198,0.891850490145846,-0.1144567723946981,0.085639129930175,31.25828242451389,0.0,661.7293161173397,True,0.2574693921030468,1.29,True
SPY260821P00665000,2026-07-20 20:03:04+00:00,665.0,1.7,1.36,1.37,0.0,0.0,296.0,5683,0.2473219799804687,False,REGULAR,USD,SPY,put,2026-08-21,744.5194091796875,2026-07-21T13:48:04.398522+00:00,1.3650000000000002,0.01,0.0073260073260073,0.8931936384743789,-0.1129518812152779,0.085639129930175,31.25828242451389,0.0,662.7258964126971,True,0.2560753864238572,1.335,True
SPY260821P00666000,2026-07-20 19:46:51+00:00,666.0,1.68,1.36,1.38,0.0,0.0,13.0,684,0.2450637017822265,False,REGULAR,USD,SPY,put,2026-08-21,744.5194091796875,2026-07-21T13:48:04.398522+00:00,1.37,0.0199999999999997,0.0145985401459852,0.8945367868029118,-0.1114492513307429,0.085639129930175,31.25828242451389,0.0,663.7224767080546,True,0.2536447025111343,1.3650000000000002,True
SPY260821P00667000,2026-07-20 20:05:37+00:00,667.0,1.76,1.41,1.42,0.0,0.0,45.0,557,0.2440261145019531,False,REGULAR,USD,SPY,put,2026-08-21,744.5194091796875,2026-07-21T13:48:04.398522+00:00,1.415,0.01,0.0070671378091872,0.8958799351314447,-0.1099488759555083,0.085639129930175,31.25828242451389,0.0,664.719057003412,True,0.2527991199901609,1.37,True
SPY260821P00668000,2026-07-20 17:34:16+00:00,668.0,1.63,1.44,1.46,0.0,0.0,15.0,595,0.2428664581298827,False,REGULAR,USD,SPY,put,2026-08-21,744.5194091796875,2026-07-21T13:48:04.398522+00:00,1.45,0.02,0.0137931034482758,0.8972230834599776,-0.1084507483344863,0.085639129930175,31.25828242451389,0.0,665.7156372987695,True,0.2515123589943723,1.415,True
SPY260821P00669000,2026-07-20 18:16:41+00:00,669.0,1.59,1.48,1.49,0.0,0.0,43.0,1856,0.2413405944824218,False,REGULAR,USD,SPY,put,2026-08-21,744.5194091796875,2026-07-21T13:48:04.398522+00:00,1.485,0.01,0.0067340067340067,0.8985662317885106,-0.1069548617429035,0.085639129930175,31.25828242451389,0.0,666.7122175941269,True,0.2501885732770347,1.45,True
SPY260821P00670000,2026-07-21 13:30:55+00:00,670.0,1.47,1.5,1.52,-0.38,-20.54054,18.0,8195,0.2397536962890624,False,REGULAR,USD,SPY,put,2026-08-21,744.5194091796875,2026-07-21T13:48:04.398522+00:00,1.51,0.02,0.0132450331125827,0.8999093801170435,-0.1054612094861202,0.085639129930175,31.25828242451389,0.0,667.7087978894843,True,0.2484563002469426,1.485,True
SPY260821P00671000,2026-07-20 19:50:47+00:00,671.0,1.9,1.5,1.52,0.0,0.0,312.0,475,0.2371292108154296,False,REGULAR,USD,SPY,put,2026-08-21,744.5194091796875,2026-07-21T13:48:04.398522+00:00,1.51,0.02,0.0132450331125827,0.9012525284455764,-0.1039697848994502,0.085639129930175,31.25828242451389,0.0,668.7053781848417,True,0.2457796890160458,1.51,True
SPY260821P00672000,2026-07-21 13:30:55+00:00,672.0,1.55,1.57,1.58,-0.17000008,-9.883725,2.0,1361,0.2365798999023437,False,REGULAR,USD,SPY,put,2026-08-21,744.5194091796875,2026-07-21T13:48:04.398522+00:00,1.5750000000000002,0.01,0.0063492063492063,0.9025956767741092,-0.1024805813479825,0.085639129930175,31.25828242451389,0.0,669.7019584801992,True,0.2454662163775038,1.51,True
SPY260821P00673000,2026-07-20 20:00:18+00:00,673.0,1.96,1.59,1.61,0.0,0.0,209.0,820,0.2349319671630859,False,REGULAR,USD,SPY,put,2026-08-21,744.5194091796875,2026-07-21T13:48:04.398522+00:00,1.6,0.02,0.0125,0.903938825102642,-0.1009935922264042,0.085639129930175,31.25828242451389,0.0,670.6985387755567,True,0.2436596447755749,1.5750000000000002,True
SPY260821P00674000,2026-07-20 19:54:04+00:00,674.0,2.07,1.63,1.64,0.0,0.0,226.0,1346,0.2332840344238281,False,REGULAR,USD,SPY,put,2026-08-21,744.5194091796875,2026-07-21T13:48:04.398522+00:00,1.6349999999999998,0.01,0.0061162079510703,0.905281973431175,-0.099508810958825,0.085639129930175,31.25828242451389,0.0,671.6951190709141,True,0.2421803450996012,1.6,True
SPY260821P00675000,2026-07-20 20:07:03+00:00,675.0,2.14,1.67,1.69,0.0,0.0,8239.0,24540,0.2322464471435547,False,REGULAR,USD,SPY,put,2026-08-21,744.5194091796875,2026-07-21T13:48:04.398522+00:00,1.68,0.02,0.0119047619047619,0.906625121759708,-0.0980262309986021,0.085639129930175,31.25828242451389,0.0,672.6916993662716,True,0.2410098800766754,1.6349999999999998,True
SPY260821P00676000,2026-07-20 19:39:33+00:00,676.0,2.06,1.71,1.73,0.0,0.0,112.0,1489,0.2307816180419922,False,REGULAR,USD,SPY,put,2026-08-21,744.5194091796875,2026-07-21T13:48:04.398522+00:00,1.72,0.02,0.0116279069767441,0.9079682700882408,-0.0965458458281679,0.085639129930175,31.25828242451389,0.0,673.6882796616289,True,0.2396276701776107,1.68,True
SPY260821P00677000,2026-07-20 19:35:16+00:00,677.0,2.13,1.75,1.77,0.0,0.0,1074.0,3483,0.2293778234863281,False,REGULAR,USD,SPY,put,2026-08-21,744.5194091796875,2026-07-21T13:48:04.398522+00:00,1.76,0.02,0.0113636363636363,0.9093114184167738,-0.095067648958857,0.085639129930175,31.25828242451389,0.0,674.6848599569864,True,0.2382085147194,1.72,True
SPY260821P00678000,2026-07-20 20:00:16+00:00,678.0,2.21,1.79,1.8,0.0,0.0,123.0,1634,0.2275467871093749,False,REGULAR,USD,SPY,put,2026-08-21,744.5194091796875,2026-07-21T13:48:04.398522+00:00,1.795,0.01,0.0055710306406685,0.9106545667453066,-0.0935916339307364,0.085639129930175,31.25828242451389,0.0,675.6814402523438,True,0.2365921278803199,1.76,True
SPY260821P00679000,2026-07-20 19:36:05+00:00,679.0,2.27,1.83,1.85,0.0,0.0,634.0,1270,0.2263871307373046,False,REGULAR,USD,SPY,put,2026-08-21,744.5194091796875,2026-07-21T13:48:04.398522+00:00,1.84,0.02,0.0108695652173913,0.9119977150738396,-0.0921177943124359,0.085639129930175,31.25828242451389,0.0,676.6780205477013,True,0.2352627885711654,1.795,True
SPY260821P00680000,2026-07-20 20:11:24+00:00,680.0,2.41,1.87,1.88,0.0,0.0,10102.0,20240,0.224495059814453,False,REGULAR,USD,SPY,put,2026-08-21,744.5194091796875,2026-07-21T13:48:04.398522+00:00,1.875,0.0099999999999997,0.0053333333333332,0.9133408634023724,-0.0906461237009796,0.085639129930175,31.25828242451389,0.0,677.6746008430588,True,0.2335823541093619,1.84,True
SPY260821P00681000,2026-07-20 19:39:33+00:00,681.0,2.3,1.91,1.93,0.0,0.0,39.0,1316,0.2232133343505859,False,REGULAR,USD,SPY,put,2026-08-21,744.5194091796875,2026-07-21T13:48:04.398522+00:00,1.92,0.02,0.0104166666666666,0.9146840117309052,-0.0891766157216197,0.085639129930175,31.25828242451389,0.0,678.6711811384162,True,0.2321789519693502,1.875,True
SPY260821P00682000,2026-07-20 19:39:33+00:00,682.0,2.35,1.96,1.97,0.0,0.0,1687.0,2642,0.2216264361572265,False,REGULAR,USD,SPY,put,2026-08-21,744.5194091796875,2026-07-21T13:48:04.398522+00:00,1.965,0.01,0.005089058524173,0.9160271600594384,-0.0877092640276698,0.085639129930175,31.25828242451389,0.0,679.6677614337736,True,0.2307368236982014,1.92,True
SPY260821P00683000,2026-07-20 19:52:04+00:00,683.0,2.51,1.98,2.0,0.0,0.0,630.0,1530,0.2196733306884765,False,REGULAR,USD,SPY,put,2026-08-21,744.5194091796875,2026-07-21T13:48:04.398522+00:00,1.99,0.02,0.0100502512562814,0.9173703083879712,-0.0862440623003419,0.085639129930175,31.25828242451389,0.0,680.664341729131,True,0.228667271101015,1.965,True
SPY260821P00684000,2026-07-20 19:40:27+00:00,684.0,2.46,2.03,2.06,0.0,0.0,414.0,3085,0.2185747088623046,False,REGULAR,USD,SPY,put,2026-08-21,744.5194091796875,2026-07-21T13:48:04.398522+00:00,2.045,0.0300000000000002,0.0146699266503668,0.918713456716504,-0.0847810042485815,0.085639129930175,31.25828242451389,0.0,681.6609220244885,True,0.2274506334423808,1.99,True
SPY260821P00685000,2026-07-20 20:09:25+00:00,685.0,2.7,2.11,2.12,0.0,0.0,2171.0,13235,0.2174150524902343,False,REGULAR,USD,SPY,put,2026-08-21,744.5194091796875,2026-07-21T13:48:04.398522+00:00,2.115,0.0100000000000002,0.0047281323877069,0.920056605045037,-0.0833200836089067,0.085639129930175,31.25828242451389,0.0,682.6575023198459,True,0.2266113181390044,2.045,True
SPY260821P00686000,2026-07-20 18:54:43+00:00,686.0,2.54,2.15,2.17,0.0,0.0,792.0,3315,0.2159197061157226,False,REGULAR,USD,SPY,put,2026-08-21,744.5194091796875,2026-07-21T13:48:04.398522+00:00,2.16,0.02,0.0092592592592592,0.9213997533735698,-0.0818612941452468,0.085639129930175,31.25828242451389,0.0,683.6540826152034,True,0.2250149244632963,2.115,True
SPY260821P00687000,2026-07-20 19:58:58+00:00,687.0,2.75,2.2,2.22,0.0,0.0,555.0,1974,0.2143938424682617,False,REGULAR,USD,SPY,put,2026-08-21,744.5194091796875,2026-07-21T13:48:04.398522+00:00,2.21,0.02,0.0090497737556561,0.9227429017021028,-0.0804046296487827,0.085639129930175,31.25828242451389,0.0,684.6506629105608,True,0.2235202568037617,2.16,True
SPY260821P00688000,2026-07-20 19:39:33+00:00,688.0,2.71,2.26,2.27,0.0,0.0,476.0,1186,0.2128374615478515,False,REGULAR,USD,SPY,put,2026-08-21,744.5194091796875,2026-07-21T13:48:04.398522+00:00,2.2649999999999997,0.0100000000000002,0.0044150110375276,0.9240860500306356,-0.0789500839377884,0.085639129930175,31.25828242451389,0.0,685.6472432059182,True,0.222120575878768,2.21,True
