contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,spot,download_timestamp,mid_price,bid_ask_spread,relative_spread,moneyness,log_moneyness,time_to_expiry,days_to_expiry,price_lower_bound,price_upper_bound,passes_price_bounds,calculated_implied_volatility,call_delta,gamma,vega_per_point,theta_per_day,rho_per_point
SPY260731C00627000,2026-04-15 17:00:41+00:00,627.0,83.32,116.0,119.29,0.0,0.0,10.0,10,1.0150195733642575,True,REGULAR,USD,SPY,call,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,117.645,3.2900000000000063,0.0279654893960644,0.8485242174495555,-0.1642566532307068,0.0170623064188229,6.22774184287037,112.35777665125327,738.93,True,1.0550761021823865,0.8971910197804054,0.001758454290928139,17.284594884568296,-1.5238999836707323,0.09304354833742658
SPY260731C00629000,2026-06-22 14:13:39+00:00,629.0,124.61,109.32,112.64,0.0,0.0,46.0,13,0.6689486230468751,True,REGULAR,USD,SPY,call,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,110.98,3.3200000000000074,0.0299153000540638,0.8512308337731586,-0.161071937163187,0.0170623064188229,6.22774184287037,110.359141170077,738.93,True,0.6482817088482659,0.9745615657389042,0.0009477392948236985,5.723965280045176,-0.364676813503746,0.1039355135034984
SPY260731C00632000,2026-06-17 20:08:03+00:00,632.0,112.21,106.33,109.64,0.0,0.0,5.0,10,0.6530796411132813,True,REGULAR,USD,SPY,call,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,107.985,3.3100000000000023,0.0306524054266796,0.8552907582585632,-0.1563137997167701,0.0170623064188229,6.22774184287037,107.3611879483127,738.93,True,0.6326214297559056,0.9738829505886666,0.0009928366921691293,5.851484423824735,-0.3642301112695841,0.1043609707974268
SPY260731C00637000,2026-04-14 13:34:02+00:00,637.0,67.16,106.56,109.87,0.0,0.0,1.0,702,0.971557901611328,True,REGULAR,USD,SPY,call,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,108.215,3.3100000000000023,0.0305872568497897,0.8620572990675708,-0.1484335382914641,0.0170623064188229,6.22774184287037,102.36459924537212,738.93,True,1.0106717601436075,0.8840603861915031,0.0020012894245858147,18.843621245501364,-1.588753405072428,0.09299703323428715
SPY260731C00639000,2026-06-17 20:00:58+00:00,639.0,106.0,99.35,102.63,0.0,0.0,20.0,21,0.6154823608398439,True,REGULAR,USD,SPY,call,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,100.99,3.280000000000001,0.0324784632141796,0.8647639153911738,-0.1452987394860927,0.0170623064188229,6.22774184287037,100.36596376419595,738.93,True,0.5950171602545782,0.9723868091816015,0.001105835942315289,6.130057205635536,-0.36051719282321615,0.1053658478679047
SPY260731C00641000,2026-06-22 15:00:25+00:00,641.0,108.07,97.35,100.67,0.0,0.0,2.0,92,0.6069375244140626,True,REGULAR,USD,SPY,call,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,99.01,3.3200000000000074,0.0335319664680336,0.8674705317147768,-0.1421737369429574,0.0170623064188229,6.22774184287037,98.36732828301967,738.93,True,0.5872574799036887,0.9713269593554253,0.0011561390760703727,6.325326854674275,-0.36603604334731493,0.10557005725780275
SPY260731C00646000,2026-06-10 19:37:09+00:00,646.0,86.94,108.44,111.24,0.0,0.0,1.0,32,1.3185458877563474,True,REGULAR,USD,SPY,call,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,109.84,2.799999999999997,0.0254916241806263,0.8742370725237845,-0.1344036900810256,0.0170623064188229,6.22774184287037,93.37073958007907,738.93,True,1.3859173846370418,0.7986236840330332,0.0021014904087323346,27.13370441882392,-3.071792147494434,0.08194803943154536
SPY260731C00653000,2026-05-12 17:54:49+00:00,653.0,91.66,101.79,105.14,0.0,0.0,2.0,46,1.2767980496215818,True,REGULAR,USD,SPY,call,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,103.465,3.3499999999999943,0.0323780988740153,0.8837102296563951,-0.1236260645871964,0.0170623064188229,6.22774184287037,86.37551539596234,738.93,True,1.3420788983653598,0.7872011582155715,0.0022421432117841304,28.034042775571432,-3.073077146018219,0.08159562653578582
SPY260731C00654000,2026-06-09 16:38:26+00:00,654.0,77.74,100.54,103.04,0.0,0.0,1.0,153,1.2451819967651363,True,REGULAR,USD,SPY,call,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,101.79,2.5,0.0245603693879555,0.8850635378181967,-0.1220958424064287,0.0170623064188229,6.22774184287037,85.3761976553742,738.93,True,1.308426198907751,0.7892536148686335,0.002286804951110818,27.875501560463952,-2.9810289999837667,0.08214019082660381
SPY260731C00664000,2026-07-23 13:58:10+00:00,664.0,77.31,74.87,76.46,0.0,0.0,4.0,330,0.5199022619628906,True,REGULAR,USD,SPY,call,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,75.66499999999999,1.5899999999999892,0.02101367871539,0.8985966194362118,-0.1069210443871937,0.0170623064188229,6.22774184287037,75.38302024949314,738.93,True,0.4039230961354421,0.980576866356653,0.0012114248254164036,4.558684023336057,-0.218948823715566,0.11071946709903477
SPY260731C00669000,2026-06-18 19:43:04+00:00,669.0,83.62,69.68,72.56,0.0,0.0,51.0,167,0.5629926513671876,True,REGULAR,USD,SPY,call,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,71.12,2.8799999999999955,0.0404949381327333,0.9053631602452196,-0.0994191337353991,0.0170623064188229,6.22774184287037,70.38643154655256,738.93,True,0.4480947600811742,0.9590254605630021,0.00203175061287519,8.481733055124737,-0.3750028899880354,0.10877777999286392
SPY260731C00680000,2026-07-24 17:09:00+00:00,680.0,61.33,58.93,60.56,1.3300018,2.2166698,34.0,644,0.4344538977050781,True,REGULAR,USD,SPY,call,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,59.745000000000005,1.6300000000000026,0.0272826177922839,0.9202495500250364,-0.0831103956934751,0.0170623064188229,6.22774184287037,59.39393640008325,738.93,True,0.3385544368419912,0.9723744127780928,0.0019442591616807038,6.1323509154666445,-0.23887853347265534,0.11240163322988084
SPY260731C00681000,2026-07-16 16:15:28+00:00,681.0,73.25,57.34,59.57,0.0,0.0,1.0,485,0.4292049267578125,True,REGULAR,USD,SPY,call,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,58.455,2.229999999999997,0.0381490035069711,0.9216028581868376,-0.0816408877141152,0.0170623064188229,6.22774184287037,58.39461865949522,738.93,True,0.2597206812048665,0.9927284339097556,0.0008038922553542644,1.9451303623873188,-0.114543453339127,0.11518794145279948
SPY260731C00683000,2026-07-24 15:20:10+00:00,683.0,59.46,56.02,57.59,3.1499977,5.594029,1.0,289,0.4188290539550781,True,REGULAR,USD,SPY,call,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,56.80500000000001,1.5700000000000005,0.0276384121116098,0.9243094745104408,-0.0787083342928374,0.0170623064188229,6.22774184287037,56.39598317831894,738.93,True,0.332326223026506,0.9678858325680099,0.0022441996628999867,6.9481700603847,-0.2575378047647277,0.11233735157438081
SPY260731C00685000,2026-07-24 19:47:33+00:00,685.0,53.87,53.2,55.62,-1.7600021,-3.1637642,30.0,609,0.4088193884277343,True,REGULAR,USD,SPY,call,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,54.41,2.4199999999999946,0.0444771181768056,0.927016090834044,-0.0757843556014022,0.0170623064188229,6.22774184287037,54.39734769714278,738.93,True,0.2060043714036494,0.997849189407481,0.0003406043414836742,0.6536886592659479,-0.0856532415485135,0.11652372892406788
SPY260731C00688000,2026-07-24 17:37:36+00:00,688.0,54.18,49.67,53.13,1.3600006,2.5747833,3.0,99,0.4201718139648437,True,REGULAR,USD,SPY,call,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,51.400000000000006,3.460000000000001,0.0673151750972762,0.9310760153194484,-0.0714143559302838,0.0170623064188229,6.22774184287037,51.39939447537836,738.93,True,0.1541206991717815,0.9998355030607844,4.2436200287268383e-05,0.06093148967191824,-0.07608638203370344,0.11728773579225182
SPY260731C00690000,2026-07-24 14:52:51+00:00,690.0,49.66,48.15,50.68,2.1899986,4.613437,3.0,1087,0.382696602783203,True,REGULAR,USD,SPY,call,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,49.415,2.530000000000001,0.0511990286350298,0.9337826316430516,-0.0685115962723224,0.0170623064188229,6.22774184287037,49.40075899420219,738.93,True,0.1902694188821912,0.9974170538620842,0.0004352454646964884,0.7715206972401578,-0.08713984034069393,0.11732150812776203
SPY260731C00691000,2026-07-21 19:22:35+00:00,691.0,49.24,47.16,49.69,-9.23,-15.7858715,1.0,188,0.3772034936523437,True,REGULAR,USD,SPY,call,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,48.425,2.530000000000001,0.0522457408363448,0.935135939804853,-0.0670633700959576,0.0170623064188229,6.22774184287037,48.40144125361405,738.93,True,0.1964116204185001,0.996015637803383,0.0006227271818938322,1.1394868997261423,-0.09331780201717516,0.11731373652415533
SPY260731C00692000,2026-07-17 18:47:04+00:00,692.0,53.59,46.18,48.71,0.0,0.0,29.0,216,0.3723207299804688,True,REGULAR,USD,SPY,call,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,47.445,2.530000000000001,0.0533249025187058,0.9364892479666546,-0.0656172382459579,0.0170623064188229,6.22774184287037,47.40212351302591,738.93,True,0.205884566091612,0.9934076827054842,0.0009299839517095317,1.7837894073561744,-0.10473072435442127,0.1171521400574953
SPY260731C00693000,2026-07-24 15:39:16+00:00,693.0,50.43,45.19,47.73,4.330002,9.392629,3.0,259,0.3674379663085937,True,REGULAR,USD,SPY,call,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,46.459999999999994,2.539999999999999,0.0546706844597503,0.937842556128456,-0.0641731946737242,0.0170623064188229,6.22774184287037,46.40280577243777,738.93,True,0.2090182144713681,0.9915550723199998,0.001139395255896435,2.218721926602214,-0.11243612583206805,0.11708662943529317
SPY260731C00694000,2026-07-24 18:42:10+00:00,694.0,45.35,44.21,46.75,-5.3500023,-10.552273,6.0,119,0.3624331335449219,True,REGULAR,USD,SPY,call,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,45.48,2.539999999999999,0.05584872471416,0.9391958642902576,-0.062731233356823,0.0170623064188229,6.22774184287037,45.40348803184975,738.93,True,0.2126474660600852,0.9891871703002528,0.0013900611964709614,2.753838499067658,-0.12213409010580226,0.1169552985025201
SPY260731C00695000,2026-07-24 19:47:20+00:00,695.0,44.64,43.99,45.77,0.13999939,0.31460539,3.0,1042,0.35742830078125,True,REGULAR,USD,SPY,call,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,44.88,1.7800000000000011,0.0396613190730838,0.9405491724520592,-0.0612913482988353,0.0170623064188229,6.22774184287037,44.40417029126161,738.93,True,0.2788927558346311,0.9572294792531243,0.003379778536736439,8.781522377694024,-0.2692252679593849,0.11302849456484027
SPY260731C00696000,2026-07-24 14:54:07+00:00,696.0,44.18,42.24,44.79,-9.029999,-16.970493,2.0,516,0.352423468017578,True,REGULAR,USD,SPY,call,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,43.515,2.549999999999997,0.0586004825922095,0.9419024806138606,-0.0598535335292079,0.0170623064188229,6.22774184287037,43.40485255067347,738.93,True,0.2146132361648492,0.98512653138046,0.0018149252742116488,3.6287712069354208,-0.13753068798347917,0.11677861355558566
SPY260731C00697000,2026-07-23 16:54:56+00:00,697.0,42.81,41.26,43.81,0.0,0.0,2.0,211,0.3472965661621093,True,REGULAR,USD,SPY,call,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,42.535,2.5500000000000043,0.0599506288938522,0.9432557887756622,-0.0584177831031036,0.0170623064188229,6.22774184287037,42.40553481008533,738.93,True,0.2151796757546682,0.9828579912066291,0.002044381700865222,4.09833607334302,-0.1457315631658349,0.11665981001424221
SPY260731C00698000,2026-07-24 19:56:58+00:00,698.0,41.33,40.29,42.84,1.4800034,3.7139356,1.0,137,0.342657940673828,True,REGULAR,USD,SPY,call,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,41.565,2.5500000000000043,0.0613496932515338,0.9446090969374636,-0.0569840911012551,0.0170623064188229,6.22774184287037,41.4062170694973,738.93,True,0.2172788484783396,0.9796229596552222,0.002345558264050084,4.747970493164081,-0.1575991091614201,0.11641744646043904
SPY260731C00699000,2026-07-24 19:24:44+00:00,699.0,39.97,39.31,41.86,0.58000183,1.4724597,1.0,359,0.3375310388183594,True,REGULAR,USD,SPY,call,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,40.585,2.549999999999997,0.0628310952322285,0.9459624050992652,-0.0555524516298173,0.0170623064188229,6.22774184287037,40.40689932890916,738.93,True,0.2165434204411544,0.9773717134590647,0.0025715097977595603,5.18773174476313,-0.1648892820793589,0.1163008233188485
SPY260731C00700000,2026-07-24 19:55:04+00:00,700.0,39.36,39.61,39.73,0.060001373,0.15267524,157.0,6545,0.2634351000976562,True,REGULAR,USD,SPY,call,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,39.67,0.1199999999999974,0.0030249558860599,0.9473157132610668,-0.0541228588202228,0.0170623064188229,6.22774184287037,39.40758158832102,738.93,True,0.2259934974930202,0.969349378525128,0.0031752675700543295,6.685295464951853,-0.1954478333404334,0.11544549946080532
SPY260731C00701000,2026-07-24 17:06:20+00:00,701.0,40.94,37.36,39.92,2.0499992,5.271276,10.0,335,0.3280096496582031,True,REGULAR,USD,SPY,call,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,38.64,2.5600000000000023,0.0662525879917184,0.9486690214228682,-0.0526953068290374,0.0170623064188229,6.22774184287037,38.40826384773288,738.93,True,0.2164081272377986,0.9714419891429006,0.0031268933854397695,6.304214412544698,-0.1839642592713235,0.11588507442362607
SPY260731C00702000,2026-07-24 19:57:41+00:00,702.0,37.48,36.39,38.96,-0.6000023,-1.5756361,3.0,356,0.3236151623535155,True,REGULAR,USD,SPY,call,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,37.675,2.5700000000000003,0.0682149966821499,0.9500223295846698,-0.0512697898378164,0.0170623064188229,6.22774184287037,37.40894610714486,738.93,True,0.2167092703320719,0.967804195528146,0.003448727127627831,6.9627476928122665,-0.19538547505363907,0.11559107811820468
SPY260731C00703000,2026-07-24 17:37:36+00:00,703.0,39.34,36.62,37.05,3.3400002,9.277778,3.0,241,0.2685620019531249,True,REGULAR,USD,SPY,call,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,36.834999999999994,0.4299999999999997,0.0116736799239853,0.9513756377464712,-0.0498463020529626,0.0170623064188229,6.22774184287037,36.40962836655672,738.93,True,0.2312743748316867,0.9542662194196437,0.00430178055834511,9.268727265477942,-0.24534089650543994,0.11402755375746108
SPY260731C00704000,2026-07-24 14:25:54+00:00,704.0,39.17,35.66,36.09,3.1699982,8.805551,2.0,220,0.2651440673828125,True,REGULAR,USD,SPY,call,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,35.875,0.4300000000000068,0.0119860627177702,0.9527289459082728,-0.0484248377055851,0.0170623064188229,6.22774184287037,35.41031062596858,738.93,True,0.2300895057438722,0.9504207442587903,0.004612773306477359,9.887881613735669,-0.2556905885768392,0.1137065201572376
SPY260731C00705000,2026-07-24 19:28:10+00:00,705.0,33.95,33.09,36.55,-0.61999893,-1.7934594,6.0,999,0.3307562042236328,True,REGULAR,USD,SPY,call,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,34.82,3.4599999999999937,0.0993681792073519,0.9540822540700744,-0.0470053910513588,0.0170623064188229,6.22774184287037,34.41099288538044,738.93,True,0.2190193782634809,0.95363731140258,0.00459259380222767,9.370977867741223,-0.2381892474670794,0.11429206745394288
SPY260731C00706000,2026-07-24 13:39:00+00:00,706.0,34.73,32.14,35.59,1.4799995,4.4511266,1.0,405,0.3256903369140624,True,REGULAR,USD,SPY,call,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,33.865,3.450000000000003,0.1018750922781633,0.955435562231876,-0.0455879563703854,0.0170623064188229,6.22774184287037,33.41167514479241,738.93,True,0.2182840154188629,0.9491898440638818,0.004958233279579157,10.083080284786133,-0.24986018934304907,0.11389428246556815
SPY260731C00707000,2026-07-23 18:22:13+00:00,707.0,32.37,31.19,34.64,0.0,0.0,3.0,263,0.3209906768798828,True,REGULAR,USD,SPY,call,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,32.915,3.4499999999999993,0.1048154336928451,0.9567888703936774,-0.0441725279670547,0.0170623064188229,6.22774184287037,32.41235740420427,738.93,True,0.2176138917075488,0.9443309536089327,0.005346947948803132,10.84019031965788,-0.2622560686324694,0.11344377275337149
SPY260731C00708000,2026-07-24 14:46:03+00:00,708.0,31.1,31.85,32.26,-10.67,-25.54465,1.0,375,0.2512281909179687,True,REGULAR,USD,SPY,call,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,32.055,0.4099999999999966,0.012790516300109,0.9581421785554788,-0.0427591001699078,0.0170623064188229,6.22774184287037,31.413039663616132,738.93,True,0.2240034524702039,0.9331030709179436,0.005996569405717807,12.51416600196648,-0.2971073459985162,0.1121749139715626
SPY260731C00709000,2026-07-24 18:22:37+00:00,709.0,32.26,30.9,31.33,-8.610001,-21.0668,4.0,157,0.2487868090820312,True,REGULAR,USD,SPY,call,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,31.115,0.4299999999999997,0.0138197011087899,0.9594954867172804,-0.0413476673315,0.0170623064188229,6.22774184287037,30.413721923027992,738.93,True,0.2229000775838289,0.927594654416428,0.006404796072855426,13.30025173911508,-0.30972330709222384,0.11164080675595617
SPY260731C00710000,2026-07-24 20:01:21+00:00,710.0,30.31,29.97,30.39,0.34000015,1.1344683,42.0,1271,0.2457350817871093,True,REGULAR,USD,SPY,call,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,30.18,0.4200000000000017,0.0139165009940358,0.960848794879082,-0.0399382238282663,0.0170623064188229,6.22774184287037,29.414404182439853,738.93,True,0.2217940891740016,0.9216978325294273,0.006832597002296032,14.11822533059046,-0.32273286563910725,0.11105687685857772
SPY260731C00711000,2026-07-24 17:15:05+00:00,711.0,31.19,29.03,29.45,2.4400005,8.4869585,4.0,406,0.2424392163085937,True,REGULAR,USD,SPY,call,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,29.24,0.4199999999999981,0.0143638850889192,0.9622021030408836,-0.0385307640603866,0.0170623064188229,6.22774184287037,28.415086441851827,738.93,True,0.2199909128242549,0.9160495801571306,0.007260372131037233,14.88017222563462,-0.3337922388700205,0.11050513934661538
SPY260731C00712000,2026-07-24 20:08:02+00:00,712.0,28.08,28.1,28.52,-0.72999954,-2.533841,9.0,364,0.2395095581054687,True,REGULAR,USD,SPY,call,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,28.31,0.4199999999999981,0.0148357470858353,0.9635554112026852,-0.0371252824516517,0.0170623064188229,6.22774184287037,27.415768701263687,738.93,True,0.2185298076952905,0.9096774265953169,0.007719379048554969,15.715832281543507,-0.3462941570876385,0.10986042722690904
SPY260731C00713000,2026-07-24 19:35:34+00:00,713.0,27.14,27.18,27.59,0.6399994,2.415092,2.0,398,0.2363967962646484,True,REGULAR,USD,SPY,call,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,27.385,0.4100000000000001,0.0149716998356764,0.9649087193644864,-0.0357217734493316,0.0170623064188229,6.22774184287037,26.416450960675547,738.93,True,0.2170348978919349,0.9029060809931656,0.008198690944658527,16.577476542913654,-0.3589749945712488,0.10916453245923
SPY260731C00714000,2026-07-24 19:58:42+00:00,714.0,26.3,26.26,26.67,0.5,1.9379845,23.0,428,0.2335281726074218,True,REGULAR,USD,SPY,call,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,26.465000000000003,0.4100000000000001,0.0154921594558851,0.966262027526288,-0.0343202315240431,0.0170623064188229,6.22774184287037,25.417133220087408,738.93,True,0.2154881215806192,0.8957342113338935,0.008698138100815699,17.461999405619462,-0.3717392166060759,0.1084172871035232
SPY260731C00715000,2026-07-24 19:59:29+00:00,715.0,25.15,25.35,25.75,-0.14999962,-0.5928839,41.0,771,0.2304764453125,True,REGULAR,USD,SPY,call,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,25.55,0.3999999999999986,0.0156555772994128,0.9676153356880896,-0.0329206511696199,0.0170623064188229,6.22774184287037,24.41781547949938,738.93,True,0.213873972243577,0.8881589304099076,0.009217726062902115,18.366485825245658,-0.3844940925295658,0.10761832714563095
SPY260731C00716000,2026-07-24 20:06:02+00:00,716.0,24.43,24.44,24.85,0.3899994,1.6222935,2.0,541,0.227974028930664,True,REGULAR,USD,SPY,call,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,24.645000000000003,0.4100000000000001,0.0166362345303307,0.9689686438498912,-0.0315230269029819,0.0170623064188229,6.22774184287037,23.41849773891124,738.93,True,0.2124380291172399,0.8798956988326911,0.009761788414181901,19.319949582716063,-0.39806879752269425,0.10673092516871258
SPY260731C00717000,2026-07-24 19:35:16+00:00,717.0,23.75,23.54,23.94,1.2999992,5.7906423,12.0,617,0.2248612670898437,True,REGULAR,USD,SPY,call,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,23.74,0.4000000000000021,0.016849199663016,0.9703219520116928,-0.0301273532640071,0.0170623064188229,6.22774184287037,22.419179998323106,738.93,True,0.2106385122824028,0.8715057035484224,0.01032133896438988,20.2543427390988,-0.4104991085817835,0.10582754101623155
SPY260731C00718000,2026-07-24 19:01:32+00:00,718.0,21.3,22.66,23.05,-2.1200008,-9.052095,13.0,181,0.2223588507080077,True,REGULAR,USD,SPY,call,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,22.855,0.3900000000000005,0.0170640997593524,0.971675260173494,-0.0287336248154033,0.0170623064188229,6.22774184287037,21.41986225773496,738.93,True,0.2094429591805643,0.8619026322449452,0.010908033590791351,21.2841625471279,-0.42519106715819294,0.10476780159511909
SPY260731C00719000,2026-07-24 17:14:10+00:00,719.0,23.98,21.78,22.15,0.72999954,3.1397831,6.0,1169,0.219185054321289,True,REGULAR,USD,SPY,call,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,21.965,0.3699999999999974,0.0168449806510356,0.9730285683352956,-0.0273418361425808,0.0170623064188229,6.22774184287037,20.420544517146936,738.93,True,0.2076239101869377,0.8524248575183373,0.011508580465215875,22.26093796561729,-0.4376948195948037,0.10372471249324822
SPY260731C00720000,2026-07-24 19:58:07+00:00,720.0,20.81,20.9,21.28,-1.3700008,-6.1767397,553.0,3610,0.2168657415771484,True,REGULAR,USD,SPY,call,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,21.09,0.3800000000000025,0.0180180180180181,0.9743818764970972,-0.0259519818535265,0.0170623064188229,6.22774184287037,19.421226776558797,738.93,True,0.2060975280896972,0.8420252359167693,0.012129504822765385,23.289501320504666,-0.4512399121690962,0.1025628389724376
SPY260731C00721000,2026-07-24 14:39:24+00:00,721.0,19.88,20.02,20.41,-0.9200001,-4.4230776,1.0,593,0.214302290649414,True,REGULAR,USD,SPY,call,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,20.215,0.3900000000000005,0.0192926045016077,0.9757351846588987,-0.0245640565786784,0.0170623064188229,6.22774184287037,18.421909035970657,738.93,True,0.2041862554786406,0.8314508025573661,0.012769510905080819,24.290983730537377,-0.463323348897725,0.10137892544841996
SPY260731C00722000,2026-07-24 20:06:02+00:00,722.0,19.15,19.18,19.52,-0.09000015,-0.46777627,142.0,498,0.2107622869873046,True,REGULAR,USD,SPY,call,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,19.35,0.3399999999999998,0.0175710594315245,0.9770884928207004,-0.0231780549708012,0.0170623064188229,6.22774184287037,17.422591295382517,738.93,True,0.2023077974298609,0.8202012316125536,0.013428390682518731,25.309346107506315,-0.4753844730300604,0.10010818536009225
SPY260731C00723000,2026-07-24 19:12:25+00:00,723.0,18.22,18.33,18.7,-0.030000687,-0.16438733,9.0,174,0.2092974578857421,True,REGULAR,USD,SPY,call,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,18.515,0.370000000000001,0.0199837969214151,0.9784418009825018,-0.0217939717048628,0.0170623064188229,6.22774184287037,16.42327355479449,738.93,True,0.2011928834590943,0.8074114609172703,0.014090346685256043,26.410621955405905,-0.4899636548179297,0.09863814050430504
SPY260731C00724000,2026-07-24 19:42:40+00:00,724.0,17.18,17.51,17.85,-1.1800003,-6.4270167,17.0,15,0.206489868774414,True,REGULAR,USD,SPY,call,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,17.68,0.3399999999999998,0.0192307692307692,0.9797951091443032,-0.0204118014779111,0.0170623064188229,6.22774184287037,15.423955814206352,738.93,True,0.1996360546867492,0.7944505752524869,0.014768615119291801,27.46775000993701,-0.5026481166772523,0.09714652172950906
SPY260731C00725000,2026-07-24 19:58:58+00:00,725.0,16.67,16.65,17.02,-0.84000015,-4.7972593,79.0,2006,0.2040484869384765,True,REGULAR,USD,SPY,call,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,16.835,0.370000000000001,0.021978021978022,0.9811484173061048,-0.0190315390089528,0.0170623064188229,6.22774184287037,14.424638073618212,738.93,True,0.1973111579378896,0.7816527427748461,0.015480052036814242,28.455642534909774,-0.512226845050267,0.09567716668654092
SPY260731C00726000,2026-07-24 19:53:02+00:00,726.0,15.37,15.84,16.18,-0.42000008,-2.6599119,6.0,312,0.2009357250976562,True,REGULAR,USD,SPY,call,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,16.009999999999998,0.3399999999999998,0.0212367270455964,0.9825017254679064,-0.0176531790388314,0.0170623064188229,6.22774184287037,13.425320333030072,738.93,True,0.1952907145523175,0.7677738788175171,0.016195758003981695,29.466408711578335,-0.5224253839965235,0.09406810435134515
