contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,spot,download_timestamp,mid_price,bid_ask_spread,relative_spread,moneyness,log_moneyness
SPY260821C00657000,2026-06-25 18:50:04+00:00,657.0,85.26,90.99,94.26,0.0,0.0,22.0,35,0.4119931848144531,True,REGULAR,USD,SPY,call,2026-08-21,744.5194091796875,2026-07-21T13:48:04.398522+00:00,92.625,3.2700000000000102,0.035303643724696465,0.8824484518461158,-0.1250549033865215
SPY260821C00658000,2026-07-10 20:04:45+00:00,658.0,101.17,90.17,93.37,0.0,0.0,2.0,36,0.4107724938964844,True,REGULAR,USD,SPY,call,2026-08-21,744.5194091796875,2026-07-21T13:48:04.398522+00:00,91.77000000000001,3.200000000000003,0.03486978315353604,0.8837916001746486,-0.12353399054581483
SPY260821C00659000,2026-07-17 15:46:37+00:00,659.0,90.41,89.18,91.97,0.0,0.0,1.0,17,0.3991759301757813,True,REGULAR,USD,SPY,call,2026-08-21,744.5194091796875,2026-07-21T13:48:04.398522+00:00,90.575,2.789999999999992,0.030803201766491768,0.8851347485031815,-0.12201538736862483
SPY260821C00660000,2026-07-20 19:14:32+00:00,660.0,86.0,89.55,91.27,0.0,0.0,1.0,555,0.4018614501953125,True,REGULAR,USD,SPY,call,2026-08-21,744.5194091796875,2026-07-21T13:48:04.398522+00:00,90.41,1.7199999999999989,0.01902444419865058,0.8864778968317144,-0.12049908685066084
SPY260821C00661000,2026-07-15 14:49:24+00:00,661.0,96.51,86.65,89.45,0.0,0.0,3.0,5,0.381567463684082,True,REGULAR,USD,SPY,call,2026-08-21,744.5194091796875,2026-07-21T13:48:04.398522+00:00,88.05000000000001,2.799999999999997,0.03180011357183415,0.8878210451602473,-0.1189850820194458
SPY260821C00662000,2026-07-16 18:07:43+00:00,662.0,92.86,85.8,88.6,0.0,0.0,1.0,34,0.3813538427734374,True,REGULAR,USD,SPY,call,2026-08-21,744.5194091796875,2026-07-21T13:48:04.398522+00:00,87.19999999999999,2.799999999999997,0.03211009174311924,0.8891641934887803,-0.11747336593412377
SPY260821C00663000,2026-06-25 14:51:36+00:00,663.0,82.63,85.29,88.1,0.0,0.0,2.0,3,0.388128677368164,True,REGULAR,USD,SPY,call,2026-08-21,744.5194091796875,2026-07-21T13:48:04.398522+00:00,86.695,2.809999999999988,0.03241248053520951,0.8905073418173132,-0.1159639316852695
SPY260821C00664000,2026-06-23 14:35:45+00:00,664.0,83.8,83.72,86.58,0.0,0.0,1.0,3,0.3741822836303711,True,REGULAR,USD,SPY,call,2026-08-21,744.5194091796875,2026-07-21T13:48:04.398522+00:00,85.15,2.8599999999999994,0.03358778625954197,0.891850490145846,-0.11445677239469818
SPY260821C00665000,2026-07-20 15:59:42+00:00,665.0,84.68,83.32,85.82,0.0,0.0,1.0,1676,0.3756776300048828,True,REGULAR,USD,SPY,call,2026-08-21,744.5194091796875,2026-07-21T13:48:04.398522+00:00,84.57,2.5,0.029561310157266173,0.8931936384743789,-0.1129518812152779
SPY260821C00666000,2026-07-08 14:53:20+00:00,666.0,81.51,81.86,84.72,0.0,0.0,1.0,64,0.3702455554199219,True,REGULAR,USD,SPY,call,2026-08-21,744.5194091796875,2026-07-21T13:48:04.398522+00:00,83.28999999999999,2.8599999999999994,0.034337855684956176,0.8945367868029118,-0.11144925133074292
